urn,school_name,la_name,school_type,phase,address_1,address_2,address_3,town,county,postcode,phone,headteacher,head_title,head_first_name,head_last_name,website,trust_code,trust_name,pupil_count,la_code,total_teaching_support_spend_per_pupil,comparison_to_other_schools,total_teaching_support_per_pupil,teaching_staff_costs,supply_teaching_costs,agency_supply_costs,educational_support_costs,educational_consultancy_costs
100005,Thomas Coram Centre,Camden,Local authority nursery school,Nursery,49 Mecklenburgh Square,,,London,,WC1N 2NY,2075200385.0,Ms Perina Holness,Ms,Perina,Holness,http://www.thomascoram.camden.sch.uk/,,,116.0,202,"Spends £16,067 per pupil (High priority!)",Spending is higher than 96.7% of similar schools,"£16,000 per pupil","£4,100 per pupil",£0 per pupil,£102 per pupil,"£12,000 per pupil",£0 per pupil
100006,Heath School,Camden,Pupil referral unit,Not applicable,Agincourt Road,,,London,,NW3 2NY,2079748906.0,Mr Alex Wilson,Mr,Alex,Wilson,http://heath.h3federation.org.uk/,,,31.0,202,"Spends £30,881 per pupil (Medium priority!)",Spending is higher than 66.7% of similar schools,"£31,000 per pupil","£16,000 per pupil",£0 per pupil,£604 per pupil,"£9,400 per pupil","£4,400 per pupil"
100008,Argyle Primary School,Camden,Community school,Primary,Tonbridge Street,,,London,,WC1H 9EG,2078374590.0,Ms Jemima Wade,Ms,Jemima,Wade,http://www.argyle.camden.sch.uk/,,,278.0,202,"Spends £9,416 per pupil (High priority!)",Spending is higher than 100% of similar schools,"£9,000 per pupil","£4,700 per pupil",£0 per pupil,£5 per pupil,"£2,800 per pupil","£1,800 per pupil"
100009,West Hampstead Primary School,Camden,Community school,Primary,Dornfell Street,West Hampstead,,London,,NW6 1QL,2074358646.0,Mr Samuel Drake,Mr,Samuel,Drake,http://www.westhampstead.camden.sch.uk/,,,409.0,202,"Spends £6,210 per pupil (Medium priority!)",Spending is higher than 63.3% of similar schools,"£8,800 per pupil","£3,600 per pupil",£0 per pupil,£226 per pupil,"£1,100 per pupil","£1,200 per pupil"
100010,Brecknock Primary School,Camden,Community school,Primary,Cliff Villas,Camden,,London,,NW1 9AL,2074856334.0,Ms Helen Bruckdorfer,Ms,Helen,Bruckdorfer,http://www.brecknock.camden.sch.uk/,,,288.0,202,"Spends £8,944 per pupil (High priority!)",Spending is higher than 96.7% of similar schools,"£8,900 per pupil","£4,500 per pupil",£0 per pupil,£371 per pupil,"£2,200 per pupil","£1,800 per pupil"
100011,Brookfield Primary School,Camden,Community school,Primary,Chester Road,,,London,,N19 5DH,2072729627.0,Mr Simon Shiel,Mr,Simon,Shiel,http://www.brookfield.camden.sch.uk/,,,394.0,202,"Spends £6,729 per pupil (High priority!)",Spending is higher than 90% of similar schools,"£6,700 per pupil","£3,800 per pupil",£0 per pupil,£110 per pupil,"£2,000 per pupil",£822 per pupil
100013,Edith Neville Primary School,Camden,Community school,Primary,85 Polygon Road,,,London,,NW1 1HQ,2073877158.0,Ruby Nasser,,Ruby,Nasser,http://www.edithneville.camden.sch.uk/,,,204.0,202,"Spends £10,012 per pupil (High priority!)",Spending is higher than 93.3% of similar schools,"£10,000 per pupil","£4,900 per pupil",£0 per pupil,£598 per pupil,"£1,600 per pupil","£2,900 per pupil"
100014,Fleet Primary School,Camden,Community school,Primary,Fleet Road,,,London,,NW3 2QT,2074852028.0,Donald McGibbon,,Donald,McGibbon,http://www.fleet.camden.sch.uk/,,,215.0,202,"Spends £7,553 per pupil (High priority!)",,"£7,600 per pupil","£4,100 per pupil",£0 per pupil,£439 per pupil,"£1,500 per pupil","£1,500 per pupil"
100015,Hawley Primary School,Camden,Community school,Primary,Hawley Road,,,London,,NW1 8RP,2074855020.0,Ms Sally Hill / Ms Natalie Stevenson,Ms,Sally Hill,/ Ms Natalie Stevenson,http://www.hawley.camden.sch.uk/,,,228.0,202,"Spends £6,800 per pupil (High priority!)",Spending is higher than 80% of similar schools,"£6,800 per pupil","£4,100 per pupil",£0 per pupil,£187 per pupil,"£1,300 per pupil","£1,300 per pupil"
100018,Netley Primary School,Camden,Community school,Primary,74 Stanhope Street,Camden,,London,,NW1 3EX,2037720350.0,Mr Gareth Morris (Head of School) John Hayes (Executive Head),Mr,Gareth Morris (Head of School),John Hayes (Executive Head),www.netley.camden.sch.uk/,,,388.0,202,Spends £470 per pupil (High priority!),Spending is higher than 93.3% of similar schools,"£4,300 per pupil","£3,000 per pupil",£31 per pupil,£36 per pupil,£934 per pupil,£344 per pupil
100019,New End Primary School,Camden,Community school,Primary,Streatley Place,Hampstead,,London,,NW3 1HU,2074310961.0,Ms Karyn Ray,Ms,Karyn,Ray,http://www.newend.camden.sch.uk/,,,320.0,202,"Spends £6,508 per pupil (High priority!)",Spending is higher than 100% of similar schools,"£6,500 per pupil","£4,300 per pupil",£35 per pupil,£166 per pupil,"£1,000 per pupil","£1,000 per pupil"
100020,Primrose Hill School,Camden,Community school,Primary,Princess Road,,,London,,NW1 8JL,2077228500.0,Mr Liam Frost,Mr,Liam,Frost,www.primrosehill.camden.sch.uk,,,429.0,202,"Spends £8,182 per pupil (High priority!)",Spending is higher than 100% of similar schools,"£8,200 per pupil","£4,100 per pupil",£0 per pupil,£30 per pupil,"£3,200 per pupil",£901 per pupil
100021,Rhyl Community Primary School,Camden,Community school,Primary,Rhyl Street,,,London,,NW5 3HB,2074854899.0,Mr Don McGibbon,Mr,Don,McGibbon,www.rhylprim.camden.sch.uk/,,,392.0,202,,,"£9,100 per pupil","£5,300 per pupil",£0 per pupil,£93 per pupil,"£3,400 per pupil",£310 per pupil
100022,Richard Cobden Primary School,Camden,Community school,Primary,Camden Street,,,London,,NW1 0LL,2073875909.0,Ms Ruby Nasser,Ms,Ruby,Nasser,http://www.rcobden.camden.sch.uk/,,,379.0,202,"Spends £8,682 per pupil (High priority!)",Spending is higher than 90% of similar schools,"£8,700 per pupil","£4,600 per pupil",£0 per pupil,£703 per pupil,"£2,000 per pupil","£1,400 per pupil"
100023,Torriano Primary School,Camden,Community school,Primary,Torriano Avenue,Kentish Town,,London,,NW5 2SJ,2074240202.0,Ms Helen Bruckdorfer,Ms,Helen,Bruckdorfer,http://www.torriano.camden.sch.uk/,,,445.0,202,"Spends £7,797 per pupil (High priority!)",Spending is higher than 100% of similar schools,"£7,800 per pupil","£4,600 per pupil",£0 per pupil,£169 per pupil,"£1,700 per pupil","£1,300 per pupil"
100025,Gospel Oak Primary School,Camden,Community school,Primary,Mansfield Road,,,London,,NW3 2JB,2074857435.0,Mr John Hayes,Mr,John,Hayes,www.gospeloak.camden.sch.uk,,,424.0,202,"Spends £7,463 per pupil (High priority!)",Spending is higher than 93.3% of similar schools,"£7,500 per pupil","£4,300 per pupil",£0 per pupil,£99 per pupil,"£2,500 per pupil",£537 per pupil
100026,Fitzjohn's Primary School,Camden,Community school,Primary,86A Fitzjohn's Avenue,,,London,,NW3 6NP,2074359797.0,Mr Rob Earrey,Mr,Rob,Earrey,http://www.fitzjohns.camden.sch.uk/,,,230.0,202,"Spends £7,234 per pupil (High priority!)",Spending is higher than 100% of similar schools,"£7,200 per pupil","£3,700 per pupil",£0 per pupil,£436 per pupil,"£1,900 per pupil","£1,300 per pupil"
100027,Eleanor Palmer Primary School,Camden,Community school,Primary,Lupton Street,Tufnell Park,,London,,NW5 2JA,2074852155.0,Ms Sally Hill and Natalie Stevenson,Ms,Sally Hill and,Natalie Stevenson,http://www.eleanorpalmer.camden.sch.uk/,,,237.0,202,"Spends £6,833 per pupil (High priority!)",Spending is higher than 96.7% of similar schools,"£6,800 per pupil","£4,000 per pupil",£0 per pupil,£45 per pupil,"£2,500 per pupil",£261 per pupil
100028,"Christ Church Primary School, Hampstead",Camden,Voluntary aided school,Primary,Christ Church Hill,,,London,,NW3 1JH,2074351361.0,Mrs Katy Forsdyke,Mrs,Katy,Forsdyke,http://www.christchurchschool.co.uk/,,,191.0,202,,,"£6,000 per pupil","£4,800 per pupil",£0 per pupil,£10 per pupil,£482 per pupil,£673 per pupil
100029,Christ Church School,Camden,Voluntary aided school,Primary,Redhill Street,Camden,,London,,NW1 4BD,2073877881.0,Mr Lee Duffy,Mr,Lee,Duffy,http://www.cchurchnw1.camden.sch.uk,,,173.0,202,"Spends £8,401 per pupil (High priority!)",Spending is higher than 96.7% of similar schools,"£8,400 per pupil","£4,300 per pupil",£0 per pupil,£586 per pupil,"£2,800 per pupil",£726 per pupil
